show all arguments configuration...
Namespace(batch_size=32, dataset='IMDBMULTI', degree_as_nlabel=True, device=0, disable_cuda=False, epochs=350, filename='', final_dropout=0.5, fold_idx=0, graph_pooling_type='mean', hidden_dim=64, learn_eps=False, lr=0.01, model='gcn', neighbor_pooling_type='sum', num_layers=5, num_mlp_layers=2, seed=0)
train_set : test_set = %d : %d 1350 150
[epoch 0][train_loss, train_acc, valid_loss, valid_acc] : 1.0386 0.4296 1.0510 0.4667
[epoch 1][train_loss, train_acc, valid_loss, valid_acc] : 1.0860 0.4704 1.1372 0.4400
[epoch 2][train_loss, train_acc, valid_loss, valid_acc] : 0.9857 0.4867 1.0683 0.4600
[epoch 3][train_loss, train_acc, valid_loss, valid_acc] : 0.9805 0.4504 1.0337 0.4533
[epoch 4][train_loss, train_acc, valid_loss, valid_acc] : 0.9923 0.4711 1.0164 0.5333
[epoch 5][train_loss, train_acc, valid_loss, valid_acc] : 1.0086 0.4830 1.0406 0.4400
[epoch 6][train_loss, train_acc, valid_loss, valid_acc] : 0.9587 0.4748 1.0150 0.4533
[epoch 7][train_loss, train_acc, valid_loss, valid_acc] : 0.9634 0.5111 1.0339 0.4333
[epoch 8][train_loss, train_acc, valid_loss, valid_acc] : 0.9824 0.4874 1.0285 0.4267
[epoch 9][train_loss, train_acc, valid_loss, valid_acc] : 0.9457 0.5215 1.0117 0.5000
[epoch 10][train_loss, train_acc, valid_loss, valid_acc] : 0.9398 0.5274 0.9828 0.5133
[epoch 11][train_loss, train_acc, valid_loss, valid_acc] : 0.9563 0.5259 1.0402 0.5200
[epoch 12][train_loss, train_acc, valid_loss, valid_acc] : 0.9444 0.5296 0.9823 0.5133
[epoch 13][train_loss, train_acc, valid_loss, valid_acc] : 0.9320 0.5333 0.9699 0.5333
[epoch 14][train_loss, train_acc, valid_loss, valid_acc] : 0.9272 0.5311 0.9685 0.5067
[epoch 15][train_loss, train_acc, valid_loss, valid_acc] : 0.9359 0.5311 0.9660 0.5400
[epoch 16][train_loss, train_acc, valid_loss, valid_acc] : 0.9362 0.5267 0.9806 0.5600
[epoch 17][train_loss, train_acc, valid_loss, valid_acc] : 0.9264 0.5222 0.9765 0.5067
[epoch 18][train_loss, train_acc, valid_loss, valid_acc] : 0.9394 0.5133 1.0083 0.5267
[epoch 19][train_loss, train_acc, valid_loss, valid_acc] : 0.9264 0.5385 0.9643 0.5333
[epoch 20][train_loss, train_acc, valid_loss, valid_acc] : 0.9195 0.5467 0.9921 0.5333
[epoch 21][train_loss, train_acc, valid_loss, valid_acc] : 0.9213 0.5281 0.9560 0.5000
[epoch 22][train_loss, train_acc, valid_loss, valid_acc] : 0.9362 0.5311 0.9604 0.5333
[epoch 23][train_loss, train_acc, valid_loss, valid_acc] : 0.9048 0.5504 0.9438 0.5867
[epoch 24][train_loss, train_acc, valid_loss, valid_acc] : 0.9118 0.5363 0.9561 0.4933
[epoch 25][train_loss, train_acc, valid_loss, valid_acc] : 0.9297 0.5370 0.9697 0.5400
[epoch 26][train_loss, train_acc, valid_loss, valid_acc] : 0.9157 0.5370 0.9428 0.5667
[epoch 27][train_loss, train_acc, valid_loss, valid_acc] : 0.9118 0.5459 0.9456 0.5600
[epoch 28][train_loss, train_acc, valid_loss, valid_acc] : 0.9256 0.5148 0.9564 0.4400
[epoch 29][train_loss, train_acc, valid_loss, valid_acc] : 0.9098 0.5193 0.9637 0.4467
[epoch 30][train_loss, train_acc, valid_loss, valid_acc] : 0.9176 0.5341 0.9600 0.5067
[epoch 31][train_loss, train_acc, valid_loss, valid_acc] : 0.9042 0.5474 0.9573 0.5600
[epoch 32][train_loss, train_acc, valid_loss, valid_acc] : 0.9115 0.5519 0.9512 0.5467
[epoch 33][train_loss, train_acc, valid_loss, valid_acc] : 0.9083 0.5444 0.9555 0.5200
[epoch 34][train_loss, train_acc, valid_loss, valid_acc] : 0.8989 0.5378 0.9461 0.5467
[epoch 35][train_loss, train_acc, valid_loss, valid_acc] : 0.9089 0.5378 0.9537 0.4933
[epoch 36][train_loss, train_acc, valid_loss, valid_acc] : 0.8917 0.5533 0.9242 0.5867
[epoch 37][train_loss, train_acc, valid_loss, valid_acc] : 0.9028 0.5607 0.9530 0.5200
[epoch 38][train_loss, train_acc, valid_loss, valid_acc] : 0.8965 0.5467 0.9555 0.5133
[epoch 39][train_loss, train_acc, valid_loss, valid_acc] : 0.8860 0.5607 0.9595 0.5133
[epoch 40][train_loss, train_acc, valid_loss, valid_acc] : 0.9003 0.5533 0.9705 0.5200
[epoch 41][train_loss, train_acc, valid_loss, valid_acc] : 0.8845 0.5541 0.9410 0.5400
[epoch 42][train_loss, train_acc, valid_loss, valid_acc] : 0.8975 0.5415 0.9650 0.4733
[epoch 43][train_loss, train_acc, valid_loss, valid_acc] : 0.8894 0.5615 0.9574 0.5067
[epoch 44][train_loss, train_acc, valid_loss, valid_acc] : 0.8907 0.5533 0.9509 0.5267
[epoch 45][train_loss, train_acc, valid_loss, valid_acc] : 0.9014 0.5415 0.9569 0.4800
[epoch 46][train_loss, train_acc, valid_loss, valid_acc] : 0.9063 0.5422 0.9630 0.4533
[epoch 47][train_loss, train_acc, valid_loss, valid_acc] : 0.8975 0.5570 0.9710 0.5333
[epoch 48][train_loss, train_acc, valid_loss, valid_acc] : 0.9040 0.5504 0.9803 0.5333
[epoch 49][train_loss, train_acc, valid_loss, valid_acc] : 0.8990 0.5563 0.9345 0.5267
[epoch 50][train_loss, train_acc, valid_loss, valid_acc] : 0.8849 0.5607 0.9368 0.5400
[epoch 51][train_loss, train_acc, valid_loss, valid_acc] : 0.8895 0.5689 0.9450 0.5133
[epoch 52][train_loss, train_acc, valid_loss, valid_acc] : 0.8875 0.5644 0.9445 0.5200
[epoch 53][train_loss, train_acc, valid_loss, valid_acc] : 0.8731 0.5711 0.9329 0.5200
[epoch 54][train_loss, train_acc, valid_loss, valid_acc] : 0.8757 0.5674 0.9360 0.5333
[epoch 55][train_loss, train_acc, valid_loss, valid_acc] : 0.8739 0.5696 0.9387 0.5533
[epoch 56][train_loss, train_acc, valid_loss, valid_acc] : 0.8825 0.5681 0.9486 0.5600
[epoch 57][train_loss, train_acc, valid_loss, valid_acc] : 0.8765 0.5793 0.9502 0.5533
[epoch 58][train_loss, train_acc, valid_loss, valid_acc] : 0.8795 0.5674 0.9649 0.5400
[epoch 59][train_loss, train_acc, valid_loss, valid_acc] : 0.8798 0.5681 0.9558 0.5400
[epoch 60][train_loss, train_acc, valid_loss, valid_acc] : 0.8644 0.5778 0.9387 0.5400
[epoch 61][train_loss, train_acc, valid_loss, valid_acc] : 0.8713 0.5637 0.9413 0.5067
[epoch 62][train_loss, train_acc, valid_loss, valid_acc] : 0.8797 0.5296 0.9558 0.4800
[epoch 63][train_loss, train_acc, valid_loss, valid_acc] : 0.8659 0.5763 0.9379 0.5400
[epoch 64][train_loss, train_acc, valid_loss, valid_acc] : 0.8641 0.5793 0.9336 0.5467
[epoch 65][train_loss, train_acc, valid_loss, valid_acc] : 0.8720 0.5667 0.9165 0.5533
[epoch 66][train_loss, train_acc, valid_loss, valid_acc] : 0.8778 0.5644 0.9450 0.5200
[epoch 67][train_loss, train_acc, valid_loss, valid_acc] : 0.8661 0.5674 0.9354 0.5333
[epoch 68][train_loss, train_acc, valid_loss, valid_acc] : 0.8622 0.5793 0.9491 0.5600
[epoch 69][train_loss, train_acc, valid_loss, valid_acc] : 0.8659 0.5652 0.9400 0.5533
[epoch 70][train_loss, train_acc, valid_loss, valid_acc] : 0.8616 0.5733 0.9493 0.5467
[epoch 71][train_loss, train_acc, valid_loss, valid_acc] : 0.8644 0.5615 0.9407 0.5333
[epoch 72][train_loss, train_acc, valid_loss, valid_acc] : 0.8726 0.5681 0.9482 0.5133
[epoch 73][train_loss, train_acc, valid_loss, valid_acc] : 0.8683 0.5785 0.9558 0.5333
[epoch 74][train_loss, train_acc, valid_loss, valid_acc] : 0.8634 0.5778 0.9419 0.5400
[epoch 75][train_loss, train_acc, valid_loss, valid_acc] : 0.8558 0.5793 0.9584 0.5333
[epoch 76][train_loss, train_acc, valid_loss, valid_acc] : 0.8521 0.5770 0.9350 0.5600
[epoch 77][train_loss, train_acc, valid_loss, valid_acc] : 0.8716 0.5644 0.9391 0.5333
[epoch 78][train_loss, train_acc, valid_loss, valid_acc] : 0.8531 0.5733 0.9198 0.5667
[epoch 79][train_loss, train_acc, valid_loss, valid_acc] : 0.8544 0.5711 0.9334 0.5267
[epoch 80][train_loss, train_acc, valid_loss, valid_acc] : 0.8628 0.5711 0.9268 0.5600
[epoch 81][train_loss, train_acc, valid_loss, valid_acc] : 0.8608 0.5770 0.9378 0.5200
[epoch 82][train_loss, train_acc, valid_loss, valid_acc] : 0.8552 0.5785 0.9485 0.5467
[epoch 83][train_loss, train_acc, valid_loss, valid_acc] : 0.8567 0.5726 0.9608 0.5200
[epoch 84][train_loss, train_acc, valid_loss, valid_acc] : 0.8487 0.5770 0.9480 0.5400
[epoch 85][train_loss, train_acc, valid_loss, valid_acc] : 0.8569 0.5778 0.9452 0.5533
[epoch 86][train_loss, train_acc, valid_loss, valid_acc] : 0.8593 0.5726 0.9397 0.5200
[epoch 87][train_loss, train_acc, valid_loss, valid_acc] : 0.8560 0.5807 0.9426 0.5267
