show all arguments configuration...
Namespace(batch_size=32, dataset='MUTAG', device=0, disable_cuda=False, epochs=350, filename='', final_dropout=0.5, fold_idx=0, graph_pooling_type='sum', hidden_dim=64, learn_eps=False, lr=0.01, model='gcn', neighbor_pooling_type='sum', num_layers=5, num_mlp_layers=2, seed=0)
train_set : test_set = %d : %d 169 19
[epoch 0][train_loss, train_acc, valid_loss, valid_acc] : 2.6244 0.6627 2.7027 0.6842
[epoch 1][train_loss, train_acc, valid_loss, valid_acc] : 2.0756 0.6627 2.1694 0.6842
[epoch 2][train_loss, train_acc, valid_loss, valid_acc] : 3.8653 0.6627 4.0606 0.6842
[epoch 3][train_loss, train_acc, valid_loss, valid_acc] : 0.6825 0.7692 0.5664 0.7895
[epoch 4][train_loss, train_acc, valid_loss, valid_acc] : 2.4645 0.6746 2.6910 0.6842
[epoch 5][train_loss, train_acc, valid_loss, valid_acc] : 1.1051 0.7396 1.1515 0.7895
[epoch 6][train_loss, train_acc, valid_loss, valid_acc] : 1.4620 0.7219 1.4734 0.7895
[epoch 7][train_loss, train_acc, valid_loss, valid_acc] : 0.6471 0.7811 0.5780 0.7895
[epoch 8][train_loss, train_acc, valid_loss, valid_acc] : 1.5550 0.7574 1.5659 0.7895
[epoch 9][train_loss, train_acc, valid_loss, valid_acc] : 1.2670 0.7692 1.3147 0.7895
[epoch 10][train_loss, train_acc, valid_loss, valid_acc] : 4.3674 0.4260 6.4488 0.3158
[epoch 11][train_loss, train_acc, valid_loss, valid_acc] : 2.0884 0.6982 2.1690 0.7368
[epoch 12][train_loss, train_acc, valid_loss, valid_acc] : 1.7405 0.7633 1.7786 0.7368
[epoch 13][train_loss, train_acc, valid_loss, valid_acc] : 1.0512 0.7870 1.0759 0.7895
[epoch 14][train_loss, train_acc, valid_loss, valid_acc] : 1.6658 0.7278 1.7320 0.7895
[epoch 15][train_loss, train_acc, valid_loss, valid_acc] : 1.5382 0.5621 2.1671 0.4737
[epoch 16][train_loss, train_acc, valid_loss, valid_acc] : 1.0666 0.6509 0.8545 0.7368
[epoch 17][train_loss, train_acc, valid_loss, valid_acc] : 1.1577 0.5740 1.7851 0.3684
[epoch 18][train_loss, train_acc, valid_loss, valid_acc] : 1.1373 0.7870 0.7279 0.8421
[epoch 19][train_loss, train_acc, valid_loss, valid_acc] : 1.1550 0.7692 1.3517 0.7895
[epoch 20][train_loss, train_acc, valid_loss, valid_acc] : 0.5811 0.7515 0.9522 0.6842
[epoch 21][train_loss, train_acc, valid_loss, valid_acc] : 0.9864 0.7337 0.5521 0.8421
[epoch 22][train_loss, train_acc, valid_loss, valid_acc] : 0.9347 0.7456 0.5832 0.8421
[epoch 23][train_loss, train_acc, valid_loss, valid_acc] : 4.0337 0.6686 4.3315 0.6842
[epoch 24][train_loss, train_acc, valid_loss, valid_acc] : 0.9535 0.7515 0.5824 0.7895
[epoch 25][train_loss, train_acc, valid_loss, valid_acc] : 1.8508 0.7515 1.9590 0.7368
[epoch 26][train_loss, train_acc, valid_loss, valid_acc] : 0.7702 0.7988 0.9172 0.7895
[epoch 27][train_loss, train_acc, valid_loss, valid_acc] : 3.8161 0.3373 4.5708 0.3158
