show all arguments configuration...
Namespace(batch_size=32, dataset='PTC', device=0, disable_cuda=False, epochs=350, filename='', final_dropout=0.5, fold_idx=0, graph_pooling_type='sum', hidden_dim=64, learn_eps=False, lr=0.01, model='gcn', neighbor_pooling_type='sum', num_layers=5, num_mlp_layers=2, seed=0)
train_set : test_set = %d : %d 309 35
[epoch 0][train_loss, train_acc, valid_loss, valid_acc] : 1.4789 0.5631 1.4688 0.5429
[epoch 1][train_loss, train_acc, valid_loss, valid_acc] : 3.2439 0.5696 3.0721 0.5429
[epoch 2][train_loss, train_acc, valid_loss, valid_acc] : 1.5551 0.5890 1.8347 0.6000
[epoch 3][train_loss, train_acc, valid_loss, valid_acc] : 1.6154 0.5243 1.6067 0.4571
[epoch 4][train_loss, train_acc, valid_loss, valid_acc] : 2.2672 0.5307 1.4774 0.5714
[epoch 5][train_loss, train_acc, valid_loss, valid_acc] : 2.1978 0.5437 3.1327 0.4000
[epoch 6][train_loss, train_acc, valid_loss, valid_acc] : 1.9838 0.6181 0.9845 0.7714
[epoch 7][train_loss, train_acc, valid_loss, valid_acc] : 1.9077 0.6246 2.8335 0.4286
[epoch 8][train_loss, train_acc, valid_loss, valid_acc] : 4.8117 0.5696 4.3595 0.5714
[epoch 9][train_loss, train_acc, valid_loss, valid_acc] : 1.7225 0.6149 2.0587 0.5714
[epoch 10][train_loss, train_acc, valid_loss, valid_acc] : 1.5456 0.6311 1.1663 0.6000
[epoch 11][train_loss, train_acc, valid_loss, valid_acc] : 3.3260 0.5922 3.4625 0.5429
[epoch 12][train_loss, train_acc, valid_loss, valid_acc] : 1.9635 0.5987 1.4282 0.5714
[epoch 13][train_loss, train_acc, valid_loss, valid_acc] : 2.6594 0.5243 3.1533 0.4857
[epoch 14][train_loss, train_acc, valid_loss, valid_acc] : 4.2875 0.5178 2.5547 0.5714
[epoch 15][train_loss, train_acc, valid_loss, valid_acc] : 1.9046 0.5955 1.5695 0.5143
[epoch 16][train_loss, train_acc, valid_loss, valid_acc] : 1.0388 0.6019 0.9404 0.5429
[epoch 17][train_loss, train_acc, valid_loss, valid_acc] : 1.8138 0.6311 1.5600 0.6286
[epoch 18][train_loss, train_acc, valid_loss, valid_acc] : 2.1869 0.6149 2.5174 0.6000
[epoch 19][train_loss, train_acc, valid_loss, valid_acc] : 1.6466 0.6343 1.2712 0.6000
[epoch 20][train_loss, train_acc, valid_loss, valid_acc] : 1.4261 0.6181 1.1584 0.6000
[epoch 21][train_loss, train_acc, valid_loss, valid_acc] : 1.5139 0.5405 1.0249 0.5143
[epoch 22][train_loss, train_acc, valid_loss, valid_acc] : 1.2353 0.5534 1.1674 0.5143
[epoch 23][train_loss, train_acc, valid_loss, valid_acc] : 1.7784 0.5469 1.1666 0.5714
[epoch 24][train_loss, train_acc, valid_loss, valid_acc] : 1.5499 0.6214 1.5170 0.6286
[epoch 25][train_loss, train_acc, valid_loss, valid_acc] : 0.8804 0.5340 0.9555 0.5143
[epoch 26][train_loss, train_acc, valid_loss, valid_acc] : 1.3706 0.5534 0.9286 0.5714
[epoch 27][train_loss, train_acc, valid_loss, valid_acc] : 1.1640 0.5307 1.0744 0.5429
[epoch 28][train_loss, train_acc, valid_loss, valid_acc] : 1.1072 0.5858 1.0903 0.4571
[epoch 29][train_loss, train_acc, valid_loss, valid_acc] : 0.8892 0.6505 0.9027 0.6000
[epoch 30][train_loss, train_acc, valid_loss, valid_acc] : 1.2867 0.6181 0.9880 0.5714
[epoch 31][train_loss, train_acc, valid_loss, valid_acc] : 1.9309 0.5761 1.9116 0.6000
[epoch 32][train_loss, train_acc, valid_loss, valid_acc] : 1.1173 0.5566 1.3333 0.4286
[epoch 33][train_loss, train_acc, valid_loss, valid_acc] : 1.4199 0.6084 1.0236 0.6000
[epoch 34][train_loss, train_acc, valid_loss, valid_acc] : 0.7756 0.6440 0.9045 0.5714
[epoch 35][train_loss, train_acc, valid_loss, valid_acc] : 1.4675 0.6602 1.0143 0.6000
[epoch 36][train_loss, train_acc, valid_loss, valid_acc] : 1.6568 0.6117 1.5141 0.6286
[epoch 37][train_loss, train_acc, valid_loss, valid_acc] : 0.9977 0.5631 0.8631 0.6000
[epoch 38][train_loss, train_acc, valid_loss, valid_acc] : 0.8744 0.6278 1.0196 0.4857
[epoch 39][train_loss, train_acc, valid_loss, valid_acc] : 0.9324 0.5858 1.0027 0.6000
[epoch 40][train_loss, train_acc, valid_loss, valid_acc] : 0.9443 0.5761 0.9814 0.5429
[epoch 41][train_loss, train_acc, valid_loss, valid_acc] : 0.7211 0.6472 0.7462 0.5429
[epoch 42][train_loss, train_acc, valid_loss, valid_acc] : 0.6440 0.6634 0.5988 0.6000
[epoch 43][train_loss, train_acc, valid_loss, valid_acc] : 0.8574 0.5502 0.8423 0.5143
[epoch 44][train_loss, train_acc, valid_loss, valid_acc] : 1.2626 0.5566 0.7714 0.5429
[epoch 45][train_loss, train_acc, valid_loss, valid_acc] : 1.5617 0.5793 1.4736 0.5429
[epoch 46][train_loss, train_acc, valid_loss, valid_acc] : 1.8201 0.4660 2.0296 0.4571
[epoch 47][train_loss, train_acc, valid_loss, valid_acc] : 1.4025 0.5858 0.9364 0.6000
[epoch 48][train_loss, train_acc, valid_loss, valid_acc] : 0.9411 0.6570 0.6858 0.5714
[epoch 49][train_loss, train_acc, valid_loss, valid_acc] : 0.6902 0.6375 0.6641 0.6571
