show all arguments configuration...
Namespace(batch_size=32, dataset='IMDBMULTI', degree_as_nlabel=True, device=0, disable_cuda=False, epochs=350, filename='', final_dropout=0.5, fold_idx=0, graph_pooling_type='mean', hidden_dim=64, learn_eps=False, lr=0.01, model='gin', neighbor_pooling_type='sum', num_layers=5, num_mlp_layers=2, seed=0)
train_set : test_set = %d : %d 1350 150
[epoch 0][train_loss, train_acc, valid_loss, valid_acc] : 1.4726 0.4556 1.5172 0.4267
[epoch 1][train_loss, train_acc, valid_loss, valid_acc] : 2.1713 0.4385 2.0285 0.4333
[epoch 2][train_loss, train_acc, valid_loss, valid_acc] : 1.0459 0.4311 1.0058 0.4267
[epoch 3][train_loss, train_acc, valid_loss, valid_acc] : 1.0216 0.4822 1.0493 0.4267
[epoch 4][train_loss, train_acc, valid_loss, valid_acc] : 1.0415 0.4533 1.0815 0.4867
[epoch 5][train_loss, train_acc, valid_loss, valid_acc] : 1.1993 0.4067 1.2053 0.3933
[epoch 6][train_loss, train_acc, valid_loss, valid_acc] : 1.0784 0.4933 1.1833 0.4400
[epoch 7][train_loss, train_acc, valid_loss, valid_acc] : 0.9952 0.4904 1.0761 0.4400
[epoch 8][train_loss, train_acc, valid_loss, valid_acc] : 1.0036 0.4570 1.1168 0.4400
[epoch 9][train_loss, train_acc, valid_loss, valid_acc] : 1.0569 0.4667 1.1531 0.4467
[epoch 10][train_loss, train_acc, valid_loss, valid_acc] : 1.1381 0.4941 1.2549 0.4933
[epoch 11][train_loss, train_acc, valid_loss, valid_acc] : 0.9574 0.5170 1.0111 0.5067
[epoch 12][train_loss, train_acc, valid_loss, valid_acc] : 0.9537 0.5215 1.0008 0.5267
[epoch 13][train_loss, train_acc, valid_loss, valid_acc] : 0.9642 0.4578 1.0243 0.4067
[epoch 14][train_loss, train_acc, valid_loss, valid_acc] : 0.9556 0.5074 0.9613 0.5400
[epoch 15][train_loss, train_acc, valid_loss, valid_acc] : 0.9566 0.4896 1.0137 0.4867
[epoch 16][train_loss, train_acc, valid_loss, valid_acc] : 1.1694 0.4926 1.4684 0.5133
[epoch 17][train_loss, train_acc, valid_loss, valid_acc] : 0.9519 0.5200 0.9946 0.4867
[epoch 18][train_loss, train_acc, valid_loss, valid_acc] : 1.0015 0.5163 1.0607 0.5200
[epoch 19][train_loss, train_acc, valid_loss, valid_acc] : 0.9884 0.5126 1.0239 0.4733
[epoch 20][train_loss, train_acc, valid_loss, valid_acc] : 0.9599 0.5030 0.9933 0.5000
[epoch 21][train_loss, train_acc, valid_loss, valid_acc] : 1.0347 0.4674 1.1960 0.4267
[epoch 22][train_loss, train_acc, valid_loss, valid_acc] : 1.1256 0.5156 1.2560 0.5200
[epoch 23][train_loss, train_acc, valid_loss, valid_acc] : 0.9761 0.5281 1.0164 0.5200
[epoch 24][train_loss, train_acc, valid_loss, valid_acc] : 1.1801 0.4230 1.3700 0.3733
[epoch 25][train_loss, train_acc, valid_loss, valid_acc] : 0.9734 0.5230 1.0683 0.4800
[epoch 26][train_loss, train_acc, valid_loss, valid_acc] : 0.9639 0.5207 1.0436 0.4800
[epoch 27][train_loss, train_acc, valid_loss, valid_acc] : 0.9766 0.5252 1.0623 0.4733
[epoch 28][train_loss, train_acc, valid_loss, valid_acc] : 0.9446 0.5356 0.9775 0.5200
[epoch 29][train_loss, train_acc, valid_loss, valid_acc] : 0.9392 0.5415 1.0109 0.5333
[epoch 30][train_loss, train_acc, valid_loss, valid_acc] : 0.9366 0.5333 0.9736 0.5133
[epoch 31][train_loss, train_acc, valid_loss, valid_acc] : 0.9405 0.5281 0.9655 0.5067
[epoch 32][train_loss, train_acc, valid_loss, valid_acc] : 0.9452 0.5319 0.9833 0.5333
[epoch 33][train_loss, train_acc, valid_loss, valid_acc] : 0.9315 0.5326 0.9637 0.5333
[epoch 34][train_loss, train_acc, valid_loss, valid_acc] : 0.9362 0.5319 0.9621 0.5400
[epoch 35][train_loss, train_acc, valid_loss, valid_acc] : 0.9441 0.5215 0.9796 0.5067
[epoch 36][train_loss, train_acc, valid_loss, valid_acc] : 0.9374 0.5289 0.9737 0.5000
[epoch 37][train_loss, train_acc, valid_loss, valid_acc] : 0.9423 0.5126 0.9621 0.5133
[epoch 38][train_loss, train_acc, valid_loss, valid_acc] : 0.9411 0.5141 0.9770 0.5000
[epoch 39][train_loss, train_acc, valid_loss, valid_acc] : 0.9292 0.5437 0.9808 0.5400
[epoch 40][train_loss, train_acc, valid_loss, valid_acc] : 0.9366 0.5319 0.9899 0.5133
[epoch 41][train_loss, train_acc, valid_loss, valid_acc] : 0.9165 0.5489 0.9396 0.5400
[epoch 42][train_loss, train_acc, valid_loss, valid_acc] : 0.9338 0.5119 0.9740 0.4733
[epoch 43][train_loss, train_acc, valid_loss, valid_acc] : 0.9245 0.5504 0.9616 0.5600
[epoch 44][train_loss, train_acc, valid_loss, valid_acc] : 0.9216 0.5289 0.9549 0.5200
[epoch 45][train_loss, train_acc, valid_loss, valid_acc] : 0.9202 0.5467 0.9591 0.5200
[epoch 46][train_loss, train_acc, valid_loss, valid_acc] : 0.9383 0.5207 1.0283 0.5067
[epoch 47][train_loss, train_acc, valid_loss, valid_acc] : 0.9290 0.5296 0.9708 0.4867
[epoch 48][train_loss, train_acc, valid_loss, valid_acc] : 1.0834 0.5237 1.1155 0.4733
[epoch 49][train_loss, train_acc, valid_loss, valid_acc] : 0.9170 0.5415 0.9606 0.5533
[epoch 50][train_loss, train_acc, valid_loss, valid_acc] : 0.9121 0.5304 0.9494 0.5600
[epoch 51][train_loss, train_acc, valid_loss, valid_acc] : 0.9167 0.5430 0.9585 0.5400
[epoch 52][train_loss, train_acc, valid_loss, valid_acc] : 0.9098 0.5437 0.9531 0.5333
[epoch 53][train_loss, train_acc, valid_loss, valid_acc] : 0.9122 0.5489 0.9563 0.5400
[epoch 54][train_loss, train_acc, valid_loss, valid_acc] : 0.9173 0.5407 0.9612 0.5200
[epoch 55][train_loss, train_acc, valid_loss, valid_acc] : 0.9245 0.5430 0.9651 0.5133
[epoch 56][train_loss, train_acc, valid_loss, valid_acc] : 0.9029 0.5459 0.9605 0.5333
[epoch 57][train_loss, train_acc, valid_loss, valid_acc] : 0.9068 0.5593 0.9545 0.5333
[epoch 58][train_loss, train_acc, valid_loss, valid_acc] : 0.8984 0.5600 0.9414 0.5400
[epoch 59][train_loss, train_acc, valid_loss, valid_acc] : 0.8968 0.5563 0.9404 0.5333
[epoch 60][train_loss, train_acc, valid_loss, valid_acc] : 0.8923 0.5570 0.9484 0.5733
[epoch 61][train_loss, train_acc, valid_loss, valid_acc] : 0.8977 0.5652 0.9466 0.5400
[epoch 62][train_loss, train_acc, valid_loss, valid_acc] : 0.8919 0.5556 0.9427 0.5400
[epoch 63][train_loss, train_acc, valid_loss, valid_acc] : 0.8894 0.5689 0.9330 0.5333
[epoch 64][train_loss, train_acc, valid_loss, valid_acc] : 0.8860 0.5637 0.9412 0.5533
