show all arguments configuration...
Namespace(batch_size=32, dataset='MUTAG', device=0, disable_cuda=False, epochs=350, filename='', final_dropout=0.5, fold_idx=0, graph_pooling_type='sum', hidden_dim=64, learn_eps=False, lr=0.01, model='gin', neighbor_pooling_type='sum', num_layers=5, num_mlp_layers=2, seed=0)
train_set : test_set = %d : %d 169 19
[epoch 0][train_loss, train_acc, valid_loss, valid_acc] : 2.6925 0.6627 2.8490 0.6842
[epoch 1][train_loss, train_acc, valid_loss, valid_acc] : 4.3601 0.4260 7.0082 0.2632
[epoch 2][train_loss, train_acc, valid_loss, valid_acc] : 8.2193 0.6627 8.5275 0.6842
[epoch 3][train_loss, train_acc, valid_loss, valid_acc] : 18.4786 0.6627 19.5559 0.6842
[epoch 4][train_loss, train_acc, valid_loss, valid_acc] : 18.0860 0.6627 20.5206 0.6842
[epoch 5][train_loss, train_acc, valid_loss, valid_acc] : 4.9892 0.7456 5.9510 0.7895
[epoch 6][train_loss, train_acc, valid_loss, valid_acc] : 2.2033 0.6923 2.7927 0.7368
[epoch 7][train_loss, train_acc, valid_loss, valid_acc] : 1.6151 0.7751 0.5966 0.9474
[epoch 8][train_loss, train_acc, valid_loss, valid_acc] : 1.2642 0.7929 2.0405 0.8421
[epoch 9][train_loss, train_acc, valid_loss, valid_acc] : 0.6888 0.8639 1.2351 0.8421
[epoch 10][train_loss, train_acc, valid_loss, valid_acc] : 1.8927 0.7574 3.0056 0.7368
[epoch 11][train_loss, train_acc, valid_loss, valid_acc] : 1.0672 0.8225 0.7279 0.8947
[epoch 12][train_loss, train_acc, valid_loss, valid_acc] : 0.8876 0.8166 0.4062 0.8947
[epoch 13][train_loss, train_acc, valid_loss, valid_acc] : 0.6015 0.8521 0.7723 0.8421
[epoch 14][train_loss, train_acc, valid_loss, valid_acc] : 1.2072 0.7811 1.9953 0.7368
[epoch 15][train_loss, train_acc, valid_loss, valid_acc] : 0.9376 0.8521 0.4897 0.9474
[epoch 16][train_loss, train_acc, valid_loss, valid_acc] : 0.5989 0.8994 1.3642 0.8421
[epoch 17][train_loss, train_acc, valid_loss, valid_acc] : 8.6135 0.7870 9.8133 0.7895
[epoch 18][train_loss, train_acc, valid_loss, valid_acc] : 3.6521 0.8343 4.5645 0.7895
[epoch 19][train_loss, train_acc, valid_loss, valid_acc] : 2.3461 0.7988 3.2451 0.8421
[epoch 20][train_loss, train_acc, valid_loss, valid_acc] : 0.7142 0.8698 0.8795 0.8421
[epoch 21][train_loss, train_acc, valid_loss, valid_acc] : 1.1911 0.8580 1.5738 0.7895
[epoch 22][train_loss, train_acc, valid_loss, valid_acc] : 1.9818 0.8047 2.7852 0.7895
[epoch 23][train_loss, train_acc, valid_loss, valid_acc] : 0.7927 0.8698 1.3404 0.8421
[epoch 24][train_loss, train_acc, valid_loss, valid_acc] : 0.6106 0.8757 0.8268 0.8947
[epoch 25][train_loss, train_acc, valid_loss, valid_acc] : 0.8007 0.8225 1.1886 0.7895
[epoch 26][train_loss, train_acc, valid_loss, valid_acc] : 1.5274 0.8225 2.2749 0.8421
[epoch 27][train_loss, train_acc, valid_loss, valid_acc] : 0.6883 0.8935 1.5662 0.8421
[epoch 28][train_loss, train_acc, valid_loss, valid_acc] : 0.2803 0.8994 0.3738 0.8421
[epoch 29][train_loss, train_acc, valid_loss, valid_acc] : 0.2252 0.9053 0.5137 0.8947
[epoch 30][train_loss, train_acc, valid_loss, valid_acc] : 0.3191 0.8757 0.8269 0.8947
[epoch 31][train_loss, train_acc, valid_loss, valid_acc] : 0.2658 0.9231 0.4521 0.8421
[epoch 32][train_loss, train_acc, valid_loss, valid_acc] : 0.2764 0.9112 0.6793 0.8421
[epoch 33][train_loss, train_acc, valid_loss, valid_acc] : 0.4395 0.8698 1.0363 0.8947
[epoch 34][train_loss, train_acc, valid_loss, valid_acc] : 0.3076 0.8994 0.6616 0.8947
[epoch 35][train_loss, train_acc, valid_loss, valid_acc] : 0.3009 0.8876 0.2527 0.8421
[epoch 36][train_loss, train_acc, valid_loss, valid_acc] : 0.2576 0.8935 0.3521 0.8947
[epoch 37][train_loss, train_acc, valid_loss, valid_acc] : 0.7936 0.8639 1.9521 0.7368
[epoch 38][train_loss, train_acc, valid_loss, valid_acc] : 0.4053 0.8994 0.3634 0.8421
[epoch 39][train_loss, train_acc, valid_loss, valid_acc] : 1.1974 0.8284 2.4358 0.7368
[epoch 40][train_loss, train_acc, valid_loss, valid_acc] : 0.5561 0.8994 0.6646 0.8421
[epoch 41][train_loss, train_acc, valid_loss, valid_acc] : 0.7299 0.8639 1.7154 0.8421
[epoch 42][train_loss, train_acc, valid_loss, valid_acc] : 0.4242 0.9053 0.2318 0.8947
[epoch 43][train_loss, train_acc, valid_loss, valid_acc] : 0.2781 0.9231 0.6000 0.8947
[epoch 44][train_loss, train_acc, valid_loss, valid_acc] : 0.3213 0.9172 0.3198 0.8947
[epoch 45][train_loss, train_acc, valid_loss, valid_acc] : 0.4529 0.9290 0.4517 0.8947
[epoch 46][train_loss, train_acc, valid_loss, valid_acc] : 0.4043 0.9053 0.2560 0.8421
[epoch 47][train_loss, train_acc, valid_loss, valid_acc] : 0.3642 0.8876 0.8520 0.8947
[epoch 48][train_loss, train_acc, valid_loss, valid_acc] : 0.8332 0.8225 0.2355 0.9474
