show all arguments configuration...
Namespace(batch_size=32, dataset='PTC', device=0, disable_cuda=False, epochs=350, filename='', final_dropout=0.5, fold_idx=0, graph_pooling_type='sum', hidden_dim=64, learn_eps=False, lr=0.01, model='gin', neighbor_pooling_type='sum', num_layers=5, num_mlp_layers=2, seed=0)
train_set : test_set = %d : %d 309 35
[epoch 0][train_loss, train_acc, valid_loss, valid_acc] : 1.7611 0.5469 1.6313 0.5143
[epoch 1][train_loss, train_acc, valid_loss, valid_acc] : 3.7747 0.5761 3.3809 0.6000
[epoch 2][train_loss, train_acc, valid_loss, valid_acc] : 7.7410 0.5890 4.8379 0.5429
[epoch 3][train_loss, train_acc, valid_loss, valid_acc] : 9.0419 0.4790 8.7022 0.5143
[epoch 4][train_loss, train_acc, valid_loss, valid_acc] : 10.1700 0.4434 8.7776 0.4857
[epoch 5][train_loss, train_acc, valid_loss, valid_acc] : 5.4344 0.5761 9.3860 0.3429
[epoch 6][train_loss, train_acc, valid_loss, valid_acc] : 2.2878 0.5987 2.4753 0.4857
[epoch 7][train_loss, train_acc, valid_loss, valid_acc] : 4.6067 0.5955 2.1578 0.6857
[epoch 8][train_loss, train_acc, valid_loss, valid_acc] : 3.2115 0.5631 3.5849 0.5143
[epoch 9][train_loss, train_acc, valid_loss, valid_acc] : 2.5711 0.5502 1.6740 0.5714
[epoch 10][train_loss, train_acc, valid_loss, valid_acc] : 3.9285 0.4919 4.0413 0.4857
[epoch 11][train_loss, train_acc, valid_loss, valid_acc] : 2.0537 0.5955 2.7987 0.4000
[epoch 12][train_loss, train_acc, valid_loss, valid_acc] : 1.9787 0.5372 3.0356 0.4286
[epoch 13][train_loss, train_acc, valid_loss, valid_acc] : 2.2080 0.6408 2.9784 0.4857
[epoch 14][train_loss, train_acc, valid_loss, valid_acc] : 3.8211 0.5081 4.4580 0.4857
[epoch 15][train_loss, train_acc, valid_loss, valid_acc] : 1.2623 0.6634 1.2652 0.6857
[epoch 16][train_loss, train_acc, valid_loss, valid_acc] : 3.2759 0.5922 2.4234 0.6286
[epoch 17][train_loss, train_acc, valid_loss, valid_acc] : 3.5151 0.5858 2.7371 0.6000
[epoch 18][train_loss, train_acc, valid_loss, valid_acc] : 2.6630 0.6214 1.2416 0.6286
[epoch 19][train_loss, train_acc, valid_loss, valid_acc] : 2.3013 0.6311 1.1530 0.6286
[epoch 20][train_loss, train_acc, valid_loss, valid_acc] : 1.5388 0.6311 1.9697 0.5143
[epoch 21][train_loss, train_acc, valid_loss, valid_acc] : 1.1684 0.6505 1.3888 0.5714
[epoch 22][train_loss, train_acc, valid_loss, valid_acc] : 1.7832 0.6149 1.2242 0.7143
[epoch 23][train_loss, train_acc, valid_loss, valid_acc] : 0.8888 0.6667 1.0263 0.7429
[epoch 24][train_loss, train_acc, valid_loss, valid_acc] : 1.1868 0.6278 1.3734 0.5143
[epoch 25][train_loss, train_acc, valid_loss, valid_acc] : 3.5492 0.5987 2.3814 0.6000
[epoch 26][train_loss, train_acc, valid_loss, valid_acc] : 1.8398 0.6278 1.9928 0.6000
[epoch 27][train_loss, train_acc, valid_loss, valid_acc] : 1.1181 0.5761 1.2624 0.5143
[epoch 28][train_loss, train_acc, valid_loss, valid_acc] : 1.9735 0.6117 1.3927 0.6857
[epoch 29][train_loss, train_acc, valid_loss, valid_acc] : 6.7161 0.5663 5.4197 0.5429
[epoch 30][train_loss, train_acc, valid_loss, valid_acc] : 1.5181 0.6181 0.4988 0.7429
[epoch 31][train_loss, train_acc, valid_loss, valid_acc] : 1.3187 0.6343 1.2895 0.6571
[epoch 32][train_loss, train_acc, valid_loss, valid_acc] : 1.7668 0.6246 1.0327 0.6286
[epoch 33][train_loss, train_acc, valid_loss, valid_acc] : 1.3764 0.6343 1.2899 0.6286
[epoch 34][train_loss, train_acc, valid_loss, valid_acc] : 0.7929 0.6667 0.6617 0.6000
[epoch 35][train_loss, train_acc, valid_loss, valid_acc] : 1.0583 0.6505 0.7079 0.6857
[epoch 36][train_loss, train_acc, valid_loss, valid_acc] : 0.7942 0.6505 0.8228 0.6857
[epoch 37][train_loss, train_acc, valid_loss, valid_acc] : 1.6747 0.5663 1.9412 0.4857
[epoch 38][train_loss, train_acc, valid_loss, valid_acc] : 0.9784 0.6181 0.6466 0.6571
[epoch 39][train_loss, train_acc, valid_loss, valid_acc] : 2.7139 0.5922 0.8516 0.6571
[epoch 40][train_loss, train_acc, valid_loss, valid_acc] : 7.0545 0.5890 5.3264 0.6000
[epoch 41][train_loss, train_acc, valid_loss, valid_acc] : 1.3068 0.6084 2.1223 0.4857
[epoch 42][train_loss, train_acc, valid_loss, valid_acc] : 1.3514 0.5178 1.4256 0.4857
[epoch 43][train_loss, train_acc, valid_loss, valid_acc] : 2.3559 0.5858 2.1714 0.6000
[epoch 44][train_loss, train_acc, valid_loss, valid_acc] : 1.2084 0.5696 0.8711 0.6571
[epoch 45][train_loss, train_acc, valid_loss, valid_acc] : 0.9617 0.6214 0.9703 0.5429
[epoch 46][train_loss, train_acc, valid_loss, valid_acc] : 0.8112 0.6149 0.6123 0.6857
[epoch 47][train_loss, train_acc, valid_loss, valid_acc] : 0.9175 0.6343 0.5383 0.6571
[epoch 48][train_loss, train_acc, valid_loss, valid_acc] : 1.3931 0.5955 1.3287 0.6286
[epoch 49][train_loss, train_acc, valid_loss, valid_acc] : 0.8426 0.5566 1.1635 0.5714
[epoch 50][train_loss, train_acc, valid_loss, valid_acc] : 1.0662 0.6181 1.8142 0.6571
[epoch 51][train_loss, train_acc, valid_loss, valid_acc] : 0.8614 0.6634 0.7977 0.6857
[epoch 52][train_loss, train_acc, valid_loss, valid_acc] : 0.6841 0.6472 0.7779 0.6857
[epoch 53][train_loss, train_acc, valid_loss, valid_acc] : 0.7833 0.6440 0.6637 0.7143
[epoch 54][train_loss, train_acc, valid_loss, valid_acc] : 0.6572 0.6634 0.5418 0.7714
[epoch 55][train_loss, train_acc, valid_loss, valid_acc] : 0.6490 0.6893 0.5432 0.8000
[epoch 56][train_loss, train_acc, valid_loss, valid_acc] : 0.5806 0.7023 0.5025 0.8000
[epoch 57][train_loss, train_acc, valid_loss, valid_acc] : 0.5707 0.6796 0.5909 0.7429
[epoch 58][train_loss, train_acc, valid_loss, valid_acc] : 0.5542 0.6796 0.5701 0.7429
